2025-12-31 21:22:51.469384,E:\REPORT FINAL PROJECT PART 1 & PART 2_TUAN DANISH RIFQI_SYAMIL HUSAINI.pdf,0,SAFE
2025-12-31 21:22:51.475408,E:\Gemini_Generated_Image_ww6c3xww6c3xww6c.png,0,SAFE
2025-12-31 21:22:51.592939,E:\autorun.inf,14,MALICIOUS
2025-12-31 21:22:51.599286,E:\invoice.pdf.exe,16,MALICIOUS
2025-12-31 21:22:51.604121,E:\run.bat,12,MALICIOUS
2025-12-31 21:22:51.610573,E:\payload.vbs,12,MALICIOUS
2025-12-31 21:22:51.616559,E:\CHAPTER 3 RENEW.odt,0,SAFE
2025-12-31 21:22:51.622571,E:\REPORT FINAL PROJECT PART 1 & PART 2_TUAN DANISH RIFQI_SYAMIL HUSAINI.pdf,0,SAFE
2025-12-31 21:22:51.628527,E:\Gemini_Generated_Image_ww6c3xww6c3xww6c.png,0,SAFE
2025-12-31 21:22:52.929287,E:\autorun.inf,14,MALICIOUS
2025-12-31 21:22:52.935242,E:\invoice.pdf.exe,16,MALICIOUS
2025-12-31 21:22:52.940395,E:\run.bat,12,MALICIOUS
2025-12-31 21:22:52.946066,E:\payload.vbs,12,MALICIOUS
2025-12-31 21:22:52.951091,E:\CHAPTER 3 RENEW.odt,0,SAFE
2025-12-31 21:22:52.957075,E:\REPORT FINAL PROJECT PART 1 & PART 2_TUAN DANISH RIFQI_SYAMIL HUSAINI.pdf,0,SAFE
2025-12-31 21:22:52.963251,E:\Gemini_Generated_Image_ww6c3xww6c3xww6c.png,0,SAFE
2025-12-31 21:22:53.225042,E:\autorun.inf,14,MALICIOUS
2025-12-31 21:22:53.230810,E:\invoice.pdf.exe,16,MALICIOUS
2025-12-31 21:22:53.236184,E:\run.bat,12,MALICIOUS
2025-12-31 21:22:53.242938,E:\payload.vbs,12,MALICIOUS
2025-12-31 21:22:53.248305,E:\CHAPTER 3 RENEW.odt,0,SAFE
2025-12-31 21:22:53.255296,E:\REPORT FINAL PROJECT PART 1 & PART 2_TUAN DANISH RIFQI_SYAMIL HUSAINI.pdf,0,SAFE
